recipe_external_id,ingredient_name_norm,quantity,unit_code,base_quantity,note
wDXCxlcr3hY,돼지 목살,300,g,300,
wDXCxlcr3hY,꽃소금과 후춧가루,,,,한꼬집
wDXCxlcr3hY,파프리카 각 씩 청,50,g,50,
wDXCxlcr3hY,감자,150,g,150,
wDXCxlcr3hY,당근,70,g,70,
wDXCxlcr3hY,양파,200,g,200,
wDXCxlcr3hY,식용유,30,ml,30,
wDXCxlcr3hY,고형카레,60,g,60,
thXIVUt9PBU,채소믹스,,,,
thXIVUt9PBU,양파,2,kg,2000,
thXIVUt9PBU,양배추,2,kg,2000,
thXIVUt9PBU,돼지호박,1,kg,1000,
thXIVUt9PBU,청양고추,100,g,100,
thXIVUt9PBU,홍고추,100,g,100,
thXIVUt9PBU,풋고추,200,g,200,
thXIVUt9PBU,당근,500,g,500,
thXIVUt9PBU,대파,500,g,500,
thXIVUt9PBU,돼지고기,10,kg,10000,
thXIVUt9PBU,고추장,1,kg,1000,
thXIVUt9PBU,황설탕,500,g,500,
thXIVUt9PBU,물엿,300,g,300,
thXIVUt9PBU,다진마늘,500,g,500,
thXIVUt9PBU,진간장,500,ml,500,
thXIVUt9PBU,굵은 고춧가루,900,g,900,
thXIVUt9PBU,고운 고춧가루,250,g,250,
thXIVUt9PBU,후추,20,g,20,
thXIVUt9PBU,정수물,2.5,l,2500,
thXIVUt9PBU,참기름,15,ml,15,
thXIVUt9PBU,식용유,30,ml,30,
thXIVUt9PBU,통깨,15,g,15,
DnQ09ZZCjCs,목록,,,,
DnQ09ZZCjCs,돼지고기,1,g,1,
DnQ09ZZCjCs,쌀뜨물,2,ml,2,
DnQ09ZZCjCs,자른 김치,3,g,3,
DnQ09ZZCjCs,다진마늘,4,g,4,
DnQ09ZZCjCs,대파,5,g,5,
DnQ09ZZCjCs,청양고추,6,g,6,
DnQ09ZZCjCs,홍고추,7,g,7,
DnQ09ZZCjCs,고운 고춧가루,8,g,8,
DnQ09ZZCjCs,굵은 고춧가루,9,g,9,
DnQ09ZZCjCs,국간장,10,ml,10,
