recipe_id,title,step_no,content
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,1,떡은 흐르는 물에 세척한 후 물기를 제거하여 준비한다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,2,*쌀 떡을 기름에 구울 경우 떡이 터질 수 있어 밀가루 떡을 사용해야한다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,3,봉어묵은 길게 4등분으로 잘라 준비한다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,4,"마요네즈, 설탕, 식초, 고운고추가루를 섞어 소스를 만든다."
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,5,*어린이가 먹을 경우 고운고추가루는 생략하거나 파프리카가루로 대체 가능하다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,6,프라이팬에 식용유를 두른 후 물기를 제거한 떡을 넣고 중 불로 줄여 골고루 튀기듯이 굽는다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,7,*팬이 너무 달궈진 후 떡을 넣으면 튈 수 있으니 주의한다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,8,떡이 반 정도 노릇하게 익으면 어묵을 넣고 전체적으로 노릇하게 굽는다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,9,골고루 구워진 떡과 어묵은 체에 밭쳐 기름기를 제거한다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,10,접시에 구운 떡과 어묵을 담고 소스를 뿌린 후 연유를 뿌려 완성한다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,11,*유산지가 있다면 접시에 깔아줘도 좋다.
#NAME?,소떡소떡보다 맛있는 떡어묵꼬치! 어린이날 애들 간식으로 근사하죠?,12,*연유의 양은 기호에 맞게 조절한다.
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,1,표고버섯은 1/4 크기로 자르고 새송이버섯은 2cm 두께로 잘라 준비한다.
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,2,당근은 반으로 갈라 1.5cm 두께로 썰어 준비한다.
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,3,양파는 1/6 정도로 자른다.
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,4,감자는 껍질을 제거하고 반으로 갈라 1/6 정도로 자른다.
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,5,"청양고추, 홍고추 2~3cm 통으로 잘라준다."
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,6,대파도 2~3cm 통으로 잘라준다.
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,7,"흐르는 물에 닭 뼈, 내장을 깨끗하게 세척한다."
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,8,"냄비에 물 600mL(닭이 잠길 정도) 토막 닭 1마리, 황설탕 1/2컵을 넣고 끓인다."
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,9,"끓으면 감자, 당근, 양파를 넣고 익힌다."
#NAME?,'말복'에는 얼큰한 '닭볶음탕'으로 원기회복하세요! ㅣ 백종원의 백종원 레시피,10,채소가 반 정도 익으면 간 마늘 1/3컵을 넣는다.
